"o","nieuweURI"
"http://data.kbodata.be/organisation/2_179_946_524#id","https://data.vlaanderen.be/id/vestiging/2179946524"
"http://data.kbodata.be/organisation/2_158_090_642#id","https://data.vlaanderen.be/id/vestiging/2158090642"
"http://data.kbodata.be/organisation/2_049_920_794#id","https://data.vlaanderen.be/id/vestiging/2049920794"
"http://data.kbodata.be/organisation/2_226_309_752#id","https://data.vlaanderen.be/id/vestiging/2226309752"
"http://data.kbodata.be/organisation/2_054_034_089#id","https://data.vlaanderen.be/id/vestiging/2054034089"
"http://data.kbodata.be/organisation/2_063_547_217#id","https://data.vlaanderen.be/id/vestiging/2063547217"
"http://data.kbodata.be/organisation/2_174_785_134#id","https://data.vlaanderen.be/id/vestiging/2174785134"
"http://data.kbodata.be/organisation/2_208_990_995#id","https://data.vlaanderen.be/id/vestiging/2208990995"
"http://data.kbodata.be/organisation/2_168_149_839#id","https://data.vlaanderen.be/id/vestiging/2168149839"
"http://data.kbodata.be/organisation/2_079_998_021#id","https://data.vlaanderen.be/id/vestiging/2079998021"
"http://data.kbodata.be/organisation/2_183_911_646#id","https://data.vlaanderen.be/id/vestiging/2183911646"
"http://data.kbodata.be/organisation/2_194_319_350#id","https://data.vlaanderen.be/id/vestiging/2194319350"
"http://data.kbodata.be/organisation/2_186_647_541#id","https://data.vlaanderen.be/id/vestiging/2186647541"
"http://data.kbodata.be/organisation/2_151_707_151#id","https://data.vlaanderen.be/id/vestiging/2151707151"
"http://data.kbodata.be/organisation/2_004_604_275#id","https://data.vlaanderen.be/id/vestiging/2004604275"
"http://data.kbodata.be/organisation/2_057_247_660#id","https://data.vlaanderen.be/id/vestiging/2057247660"
"http://data.kbodata.be/organisation/2_235_002_932#id","https://data.vlaanderen.be/id/vestiging/2235002932"
"http://data.kbodata.be/organisation/2_076_760_793#id","https://data.vlaanderen.be/id/vestiging/2076760793"
"http://data.kbodata.be/organisation/2_149_910_572#id","https://data.vlaanderen.be/id/vestiging/2149910572"
"http://data.kbodata.be/organisation/2_035_111_468#id","https://data.vlaanderen.be/id/vestiging/2035111468"
"http://data.kbodata.be/organisation/2_049_674_534#id","https://data.vlaanderen.be/id/vestiging/2049674534"
"http://data.kbodata.be/organisation/2_056_884_703#id","https://data.vlaanderen.be/id/vestiging/2056884703"
"http://data.kbodata.be/organisation/2_168_644_143#id","https://data.vlaanderen.be/id/vestiging/2168644143"
"http://data.kbodata.be/organisation/2_190_645_921#id","https://data.vlaanderen.be/id/vestiging/2190645921"
"http://data.kbodata.be/organisation/2_090_366_628#id","https://data.vlaanderen.be/id/vestiging/2090366628"
"http://data.kbodata.be/organisation/2_154_032_676#id","https://data.vlaanderen.be/id/vestiging/2154032676"
"http://data.kbodata.be/organisation/2_091_872_801#id","https://data.vlaanderen.be/id/vestiging/2091872801"
"http://data.kbodata.be/organisation/2_103_151_822#id","https://data.vlaanderen.be/id/vestiging/2103151822"
"http://data.kbodata.be/organisation/2_017_011_466#id","https://data.vlaanderen.be/id/vestiging/2017011466"
"http://data.kbodata.be/organisation/2_046_524_212#id","https://data.vlaanderen.be/id/vestiging/2046524212"
"http://data.kbodata.be/organisation/2_037_318_120#id","https://data.vlaanderen.be/id/vestiging/2037318120"
"http://data.kbodata.be/organisation/2_154_508_372#id","https://data.vlaanderen.be/id/vestiging/2154508372"
"http://data.kbodata.be/organisation/2_250_313_886#id","https://data.vlaanderen.be/id/vestiging/2250313886"
"http://data.kbodata.be/organisation/2_113_469_157#id","https://data.vlaanderen.be/id/vestiging/2113469157"
"http://data.kbodata.be/organisation/2_157_805_580#id","https://data.vlaanderen.be/id/vestiging/2157805580"
"http://data.kbodata.be/organisation/2_247_045_184#id","https://data.vlaanderen.be/id/vestiging/2247045184"
"http://data.kbodata.be/organisation/2_013_502_739#id","https://data.vlaanderen.be/id/vestiging/2013502739"
"http://data.kbodata.be/organisation/2_064_020_933#id","https://data.vlaanderen.be/id/vestiging/2064020933"
"http://data.kbodata.be/organisation/2_006_683_837#id","https://data.vlaanderen.be/id/vestiging/2006683837"
"http://data.kbodata.be/organisation/2_005_834_591#id","https://data.vlaanderen.be/id/vestiging/2005834591"
"http://data.kbodata.be/organisation/2_166_626_048#id","https://data.vlaanderen.be/id/vestiging/2166626048"
"http://data.kbodata.be/organisation/2_209_552_409#id","https://data.vlaanderen.be/id/vestiging/2209552409"
"http://data.kbodata.be/organisation/2_079_904_979#id","https://data.vlaanderen.be/id/vestiging/2079904979"
"http://data.kbodata.be/organisation/2_089_748_796#id","https://data.vlaanderen.be/id/vestiging/2089748796"
"http://data.kbodata.be/organisation/2_091_553_491#id","https://data.vlaanderen.be/id/vestiging/2091553491"
"http://data.kbodata.be/organisation/2_261_258_654#id","https://data.vlaanderen.be/id/vestiging/2261258654"
"http://data.kbodata.be/organisation/2_231_201_225#id","https://data.vlaanderen.be/id/vestiging/2231201225"
"http://data.kbodata.be/organisation/2_204_424_869#id","https://data.vlaanderen.be/id/vestiging/2204424869"
"http://data.kbodata.be/organisation/2_006_305_240#id","https://data.vlaanderen.be/id/vestiging/2006305240"
"http://data.kbodata.be/organisation/2_214_783_974#id","https://data.vlaanderen.be/id/vestiging/2214783974"
"http://data.kbodata.be/organisation/2_214_261_362#id","https://data.vlaanderen.be/id/vestiging/2214261362"
"http://data.kbodata.be/organisation/2_055_965_082#id","https://data.vlaanderen.be/id/vestiging/2055965082"
"http://data.kbodata.be/organisation/2_004_244_484#id","https://data.vlaanderen.be/id/vestiging/2004244484"
"http://data.kbodata.be/organisation/2_022_788_213#id","https://data.vlaanderen.be/id/vestiging/2022788213"
"http://data.kbodata.be/organisation/2_160_515_642#id","https://data.vlaanderen.be/id/vestiging/2160515642"
"http://data.kbodata.be/organisation/2_038_006_028#id","https://data.vlaanderen.be/id/vestiging/2038006028"
"http://data.kbodata.be/organisation/2_159_590_776#id","https://data.vlaanderen.be/id/vestiging/2159590776"
"http://data.kbodata.be/organisation/2_146_537_942#id","https://data.vlaanderen.be/id/vestiging/2146537942"
"http://data.kbodata.be/organisation/2_272_379_507#id","https://data.vlaanderen.be/id/vestiging/2272379507"
"http://data.kbodata.be/organisation/2_221_578_528#id","https://data.vlaanderen.be/id/vestiging/2221578528"
"http://data.kbodata.be/organisation/2_015_528_257#id","https://data.vlaanderen.be/id/vestiging/2015528257"
"http://data.kbodata.be/organisation/2_214_228_797#id","https://data.vlaanderen.be/id/vestiging/2214228797"
"http://data.kbodata.be/organisation/2_006_205_666#id","https://data.vlaanderen.be/id/vestiging/2006205666"
"http://data.kbodata.be/organisation/2_204_424_176#id","https://data.vlaanderen.be/id/vestiging/2204424176"
"http://data.kbodata.be/organisation/2_100_196_983#id","https://data.vlaanderen.be/id/vestiging/2100196983"
"http://data.kbodata.be/organisation/2_093_166_166#id","https://data.vlaanderen.be/id/vestiging/2093166166"
"http://data.kbodata.be/organisation/2_202_147_151#id","https://data.vlaanderen.be/id/vestiging/2202147151"
"http://data.kbodata.be/organisation/2_052_022_330#id","https://data.vlaanderen.be/id/vestiging/2052022330"
"http://data.kbodata.be/organisation/2_047_845_192#id","https://data.vlaanderen.be/id/vestiging/2047845192"
"http://data.kbodata.be/organisation/2_228_651_511#id","https://data.vlaanderen.be/id/vestiging/2228651511"
"http://data.kbodata.be/organisation/2_153_982_295#id","https://data.vlaanderen.be/id/vestiging/2153982295"
"http://data.kbodata.be/organisation/2_135_539_132#id","https://data.vlaanderen.be/id/vestiging/2135539132"
"http://data.kbodata.be/organisation/2_100_925_869#id","https://data.vlaanderen.be/id/vestiging/2100925869"
"http://data.kbodata.be/organisation/2_191_074_996#id","https://data.vlaanderen.be/id/vestiging/2191074996"
"http://data.kbodata.be/organisation/2_256_238_509#id","https://data.vlaanderen.be/id/vestiging/2256238509"
"http://data.kbodata.be/organisation/2_015_743_637#id","https://data.vlaanderen.be/id/vestiging/2015743637"
"http://data.kbodata.be/organisation/2_215_456_244#id","https://data.vlaanderen.be/id/vestiging/2215456244"
"http://data.kbodata.be/organisation/2_143_172_933#id","https://data.vlaanderen.be/id/vestiging/2143172933"
"http://data.kbodata.be/organisation/2_154_185_205#id","https://data.vlaanderen.be/id/vestiging/2154185205"
"http://data.kbodata.be/organisation/2_005_805_194#id","https://data.vlaanderen.be/id/vestiging/2005805194"
"http://data.kbodata.be/organisation/2_231_152_626#id","https://data.vlaanderen.be/id/vestiging/2231152626"
"http://data.kbodata.be/organisation/2_210_164_004#id","https://data.vlaanderen.be/id/vestiging/2210164004"
"http://data.kbodata.be/organisation/2_015_981_979#id","https://data.vlaanderen.be/id/vestiging/2015981979"
"http://data.kbodata.be/organisation/2_030_145_563#id","https://data.vlaanderen.be/id/vestiging/2030145563"
"http://data.kbodata.be/organisation/2_045_381_293#id","https://data.vlaanderen.be/id/vestiging/2045381293"
"http://data.kbodata.be/organisation/2_033_051_605#id","https://data.vlaanderen.be/id/vestiging/2033051605"
"http://data.kbodata.be/organisation/2_099_392_873#id","https://data.vlaanderen.be/id/vestiging/2099392873"
"http://data.kbodata.be/organisation/2_059_286_442#id","https://data.vlaanderen.be/id/vestiging/2059286442"
"http://data.kbodata.be/organisation/2_076_965_681#id","https://data.vlaanderen.be/id/vestiging/2076965681"
"http://data.kbodata.be/organisation/2_195_668_937#id","https://data.vlaanderen.be/id/vestiging/2195668937"
"http://data.kbodata.be/organisation/2_149_034_307#id","https://data.vlaanderen.be/id/vestiging/2149034307"
"http://data.kbodata.be/organisation/2_114_743_223#id","https://data.vlaanderen.be/id/vestiging/2114743223"
"http://data.kbodata.be/organisation/2_028_822_504#id","https://data.vlaanderen.be/id/vestiging/2028822504"
"http://data.kbodata.be/organisation/2_151_786_731#id","https://data.vlaanderen.be/id/vestiging/2151786731"
"http://data.kbodata.be/organisation/2_025_017_926#id","https://data.vlaanderen.be/id/vestiging/2025017926"
